_id,id,air_quality_benfits_total_lbs,neighborhood
384,1344321122,0.020985359,Garfield
385,390811299,0.765231379,Garfield
386,341954225,2.199868362,Garfield
387,586203568,1.392505828,Garfield
388,1107647054,2.986340915,Garfield
389,293424813,0.758921666,Garfield
390,33193921,,East Liberty
391,1298985078,0.880961104,East Liberty
392,1613624947,2.138232745,Central Northside
393,308876651,0.317639436,East Liberty
394,350145645,0.431380706,East Liberty
395,1467337931,1.002453766,East Liberty
396,1924234092,0.460405158,East Liberty
397,1346068924,0.264066972,East Liberty
398,437603367,3.863429903,Homewood North
399,2101852902,4.59804096,Homewood North
400,19824928,1.048849986,Homewood North
401,1802882249,0.315915292,Homewood North
402,780402058,1.906021445,Homewood North
403,2020464025,1.292959027,Central Northside
404,916649254,0.765231379,Homewood North
405,1216333875,0.021569598,Homewood North
406,1802955863,1.172408871,Homewood North
407,1128332130,1.514707978,Homewood North
408,534292004,0.920555149,Homewood North
409,2038010966,0.194329668,Homewood North
410,1990146870,0.046227318,Homewood North
411,1325973958,1.906021445,Homewood North
412,1403928231,1.673810145,Homewood North
413,1873388541,0.138032503,Homewood North
414,628533821,1.778330167,Central Northside
415,478023351,,Homewood North
416,1025392395,0.286165886,Homewood North
417,1879556176,1.196503643,Homewood North
418,1630520693,0.207224798,Homewood North
419,1400579247,1.037401476,Homewood North
420,219252585,0.785006173,Homewood North
421,931917359,0.920555149,Homewood North
422,839068473,1.633138489,Homewood North
423,1083018771,2.022127095,Homewood North
424,344188277,1.789915795,Homewood North
425,735946202,1.077675387,Central Northside
426,363596363,1.673810145,Homewood North
427,859388924,2.263232665,Homewood North
428,1823542945,1.584247605,Homewood North
429,492015047,0.920555149,Homewood North
430,481377104,1.086478263,Homewood North
431,1656597417,1.584247605,Homewood North
432,935832398,0.513908222,Homewood North
433,1980708137,1.584247605,Homewood North
434,1974508384,1.8242331,Homewood North
435,82413495,2.59711944,Homewood North
436,722834864,1.296157032,Central Northside
437,1628252402,0.033300871,Homewood North
438,1043348256,1.706543698,Homewood North
439,1217534878,0.785006173,Homewood North
440,1593487794,2.138232745,Homewood North
441,220495543,0.100755835,Homewood North
442,109433352,0.903803503,Homewood North
443,46962529,1.196503643,Homewood North
444,633913016,3.575445736,Homewood North
445,480617363,0.240906027,Homewood North
446,1865001139,2.138232745,Homewood North
447,1649319605,0.904079222,South Side Flats
448,906723019,2.467043383,Central Northside
449,1614215143,2.138232745,Homewood North
450,2039433049,2.254338394,Homewood North
451,876829307,0.932091285,Homewood South
452,858790608,0.264066972,Homewood South
453,205673314,0.503116025,Homewood South
454,787896062,0.372164049,Homewood South
455,319057916,4.65643424,Homewood South
456,1709617737,1.181579324,Morningside
457,584441980,2.370444044,Stanton Heights
458,839230230,1.390461378,Stanton Heights
459,1806156733,0.015575302,Central Northside
460,613677714,0.341563246,Stanton Heights
461,821793343,0.330655437,Stanton Heights
462,865423100,0.155594401,Stanton Heights
463,1364768914,0.64367658,Stanton Heights
464,1296463310,1.743289895,Stanton Heights
465,1243509251,2.470142365,Stanton Heights
466,2105239593,0.136074509,Stanton Heights
467,229994177,1.143466953,Stanton Heights
468,863056222,2.461747853,Stanton Heights
469,1419003267,0.139807467,Stanton Heights
470,1629011819,0.925548584,Allegheny Center
471,1532080999,0.166325865,Stanton Heights
472,1745575752,2.417713469,Stanton Heights
473,2070640744,1.463145547,Stanton Heights
474,683398904,0.470621023,Stanton Heights
475,1120867959,0.219484108,Morningside
476,413274782,0.142261654,Morningside
477,276880704,0.130364996,Morningside
